=== 服务器启动 ===
[2025-07-24 11:24:22.996] 服务器已初始化，准备接收0-999共1000个音频块
[2025-07-24 11:24:22.997] ASR流服务器已在 0.0.0.0:8000 启动
[2025-07-24 11:24:22.998] 接收路径格式: /api/v1/asr/stream/[块编号] (0-999)
[2025-07-24 11:24:22.999] 输出文件: received_audio.pcm, 日志文件: stream_server.log
[2025-07-24 11:24:37.113] 请求 #16 - 块 15, 大小: 6400 bytes, 数据哈希: 0daf462b
[2025-07-24 11:24:37.133] 请求 #16 - 块 15 已写入 (版本 1), 位置: 96000, 已接收: 16/1000 (1.6%)
[2025-07-24 11:24:37.168] 请求 #17 (ID: 6d35ca55) - 客户端: 192.168.202.196, 方法: POST, 路径: /api/v1/asr/stream/16
[2025-07-24 11:24:37.255] 请求 #17 - 块 16, 大小: 6400 bytes, 数据哈希: 83bcbbd2
[2025-07-24 11:24:37.264] 请求 #17 - 块 16 已写入 (版本 1), 位置: 102400, 已接收: 17/1000 (1.7%)
[2025-07-24 11:24:37.289] 请求 #18 (ID: f45c4141) - 客户端: 192.168.202.196, 方法: POST, 路径: /api/v1/asr/stream/17
[2025-07-24 11:24:37.353] 请求 #18 - 块 17, 大小: 6400 bytes, 数据哈希: 769ae1cf
[2025-07-24 11:24:37.375] 请求 #18 - 块 17 已写入 (版本 1), 位置: 108800, 已接收: 18/1000 (1.8%)
[2025-07-24 11:24:37.457] 请求 #19 (ID: 08ccf07a) - 客户端: 192.168.202.196, 方法: POST, 路径: /api/v1/asr/stream/18
[2025-07-24 11:24:37.560] 请求 #19 - 块 18, 大小: 6400 bytes, 数据哈希: b9f5bb3f
[2025-07-24 11:24:37.578] 请求 #19 - 块 18 已写入 (版本 1), 位置: 115200, 已接收: 19/1000 (1.9%)
[2025-07-24 11:24:37.625] 请求 #20 (ID: fb4a9d94) - 客户端: 192.168.202.196, 方法: POST, 路径: /api/v1/asr/stream/19
[2025-07-24 11:24:37.719] 请求 #20 - 块 19, 大小: 6400 bytes, 数据哈希: addd87e6
[2025-07-24 11:24:37.734] 请求 #20 - 块 19 已写入 (版本 1), 位置: 121600, 已接收: 20/1000 (2.0%)
[2025-07-24 11:24:37.814] 请求 #21 (ID: fae62bc6) - 客户端: 192.168.202.196, 方法: POST, 路径: /api/v1/asr/stream/20
[2025-07-24 11:24:37.888] 请求 #21 - 块 20, 大小: 6400 bytes, 数据哈希: 10227088
[2025-07-24 11:24:37.901] 请求 #21 - 块 20 已写入 (版本 1), 位置: 128000, 已接收: 21/1000 (2.1%)
[2025-07-24 11:24:37.982] 请求 #22 (ID: 3d22f082) - 客户端: 192.168.202.196, 方法: POST, 路径: /api/v1/asr/stream/21
[2025-07-24 11:24:38.066] 请求 #22 - 块 21, 大小: 6400 bytes, 数据哈希: aa1ad265
[2025-07-24 11:24:38.078] 请求 #22 - 块 21 已写入 (版本 1), 位置: 134400, 已接收: 22/1000 (2.2%)
[2025-07-24 11:24:38.174] 请求 #23 (ID: 72ed8d29) - 客户端: 192.168.202.196, 方法: POST, 路径: /api/v1/asr/stream/22
[2025-07-24 11:24:38.294] 请求 #23 - 块 22, 大小: 6400 bytes, 数据哈希: 275223ec
[2025-07-24 11:24:38.308] 请求 #23 - 块 22 已写入 (版本 1), 位置: 140800, 已接收: 23/1000 (2.3%)
[2025-07-24 11:24:38.341] 请求 #24 (ID: 515ca6bb) - 客户端: 192.168.202.196, 方法: POST, 路径: /api/v1/asr/stream/23
[2025-07-24 11:24:38.408] 请求 #24 - 块 23, 大小: 6400 bytes, 数据哈希: bb6b8254
[2025-07-24 11:24:38.420] 请求 #24 - 块 23 已写入 (版本 1), 位置: 147200, 已接收: 24/1000 (2.4%)
[2025-07-24 11:24:38.461] 请求 #25 (ID: 0b236567) - 客户端: 192.168.202.196, 方法: POST, 路径: /api/v1/asr/stream/24
[2025-07-24 11:24:38.535] 请求 #25 - 块 24, 大小: 6400 bytes, 数据哈希: de71ef3c
[2025-07-24 11:24:38.547] 请求 #25 - 块 24 已写入 (版本 1), 位置: 153600, 已接收: 25/1000 (2.5%)
[2025-07-24 11:24:38.579] 请求 #26 (ID: 7744885b) - 客户端: 192.168.202.196, 方法: POST, 路径: /api/v1/asr/stream/25
[2025-07-24 11:24:38.651] 请求 #26 - 块 25, 大小: 6400 bytes, 数据哈希: 3cbd51eb
[2025-07-24 11:24:38.664] 请求 #26 - 块 25 已写入 (版本 1), 位置: 160000, 已接收: 26/1000 (2.6%)
[2025-07-24 11:24:38.699] 请求 #27 (ID: 07e597ee) - 客户端: 192.168.202.196, 方法: POST, 路径: /api/v1/asr/stream/26
